"team","map","win_rate","","",""
"BBL Esports","Bind (39)","59%","","",""
"BBL Esports","Haven (48)","71%","","",""
"BBL Esports","Split (26)","42%","","",""
"BBL Esports","Ascent (64)","66%","","",""
"BBL Esports","Icebox (25)","44%","","",""
"BBL Esports","Breeze (8)","38%","","",""
"BBL Esports","Fracture (7)","43%","","",""
"BBL Esports","Pearl (1)","0%","","",""
"BBL Esports","Lotus (0)","-","","",""
"FNATIC","Bind (47)","77%","","",""
"FNATIC","Haven (53)","62%","","",""
"FNATIC","Split (29)","55%","","",""
"FNATIC","Ascent (35)","60%","","",""
"FNATIC","Icebox (54)","78%","","",""
"FNATIC","Breeze (8)","63%","","",""
"FNATIC","Fracture (15)","73%","","",""
"FNATIC","Pearl (3)","33%","","",""
"FNATIC","Lotus (2)","50%","","",""
"FUT Esports","Bind (34)","56%","","",""
"FUT Esports","Haven (48)","60%","","",""
"FUT Esports","Split (41)","68%","","",""
"FUT Esports","Ascent (71)","69%","","",""
"FUT Esports","Icebox (55)","62%","","",""
"FUT Esports","Breeze (25)","56%","","",""
"FUT Esports","Fracture (13)","23%","","",""
"FUT Esports","Pearl (4)","75%","","",""
"FUT Esports","Lotus (5)","100%","","",""
"Giants Gaming","Bind (61)","74%","","",""
"Giants Gaming","Haven (22)","55%","","",""
"Giants Gaming","Split (46)","63%","","",""
"Giants Gaming","Ascent (76)","72%","","",""
"Giants Gaming","Icebox (40)","73%","","",""
"Giants Gaming","Breeze (7)","29%","","",""
"Giants Gaming","Fracture (5)","60%","","",""
"Giants Gaming","Pearl (1)","0%","","",""
"Giants Gaming","Lotus (1)","100%","","",""
"Karmine Corp","Bind (7)","100%","","",""
"Karmine Corp","Haven (6)","67%","","",""
"Karmine Corp","Split (3)","33%","","",""
"Karmine Corp","Ascent (8)","38%","","",""
"Karmine Corp","Icebox (7)","29%","","",""
"Karmine Corp","Breeze (6)","33%","","",""
"Karmine Corp","Fracture (3)","67%","","",""
"Karmine Corp","Pearl (4)","75%","","",""
"Karmine Corp","Lotus (1)","100%","","",""
"Natus Vincere","Bind (18)","56%","","",""
"Natus Vincere","Haven (20)","45%","","",""
"Natus Vincere","Split (20)","60%","","",""
"Natus Vincere","Ascent (28)","68%","","",""
"Natus Vincere","Icebox (27)","52%","","",""
"Natus Vincere","Breeze (14)","36%","","",""
"Natus Vincere","Fracture (12)","67%","","",""
"Natus Vincere","Pearl (5)","100%","","",""
"Natus Vincere","Lotus (3)","33%","","",""
"Team Heretics","Bind (38)","68%","","",""
"Team Heretics","Haven (54)","81%","","",""
