"team","acs"
"Team Heretics","186.7, 251.5, 223, 220.5, 125"
"Karmine Corp","276.4, 262.8, 190, 139.2, 157.8"
"FNATIC","225, 256.6, 202.7, 201.1, 188.3"
"BBL Esports","241.3, 206.3, 154.3, 128.7, 149"
"KOI","275, 158, 123, 186.5, 110"
"Team Vitality","263.8, 234.4, 233.8, 158.8, 151.2"
"Team Liquid","258, 245.5, 205.5, 172.5, 112.5"
"FUT Esports","212.6, 259.6, 206.8, 200.6, 162.4"
"Natus Vincere","202.6, 201.2, 239.4, 198.2, 204.4"
"Giants Gaming","233.4, 194.8, 203.4, 189, 163"
"100 Thieves","251.3,164.7,178.3,168,164.7"
"Cloud 9","270,193.5,225,202.5,198"
"Evil Geniuses","213,186,225.5,251,178.5"
"FURIA","230.0,180,231,209,216.5"
"KRÜ Esports","214.5,217,194.5,202,124.5"
"Leviatan","236.5,184.5,219.5,179,194.5"
"LOUD","267.7,213,232.3,168.3,194"
"MIBR","212.3,195,219.3,156.3,137.7"
"NRG Esports","250,201,156.5,165.5,133"
"Sentinels","250.7,252.7,223,186.7,160"
