"Team A","Team B","Winner","Team A(Name)","Team B(Name)"
"186.7, 251.5, 223, 220.5, 125","276.4, 262.8, 190, 139.2, 157.8","1","Team Heretics","Karmine Corp"
"225, 256.6, 202.7, 201.1, 188.3","241.3, 206.3, 154.3, 128.7, 149","1","FNATIC","BBL Esports"
"275, 158, 123, 186.5, 110","263.8, 234.4, 233.8, 158.8, 151.2","0","KOI","Team Vitality"
"258, 245.5, 205.5, 172.5, 112.5","212.6, 259.6, 206.8, 200.6, 162.4","1","Team Liquid","FUT Esports"
"276.4, 262.8, 190, 139.2, 157.8","241.3, 206.3, 154.3, 128.7, 149","0","BBL Esports","Karmine Corp"
"202.6, 201.2, 239.4, 198.2, 204.4","233.4, 194.8, 203.4, 189, 163","1","Natus Vincere","Giants Gaming"
"258, 245.5, 205.5, 172.5, 112.5","263.8, 234.4, 233.8, 158.8, 151.2","0","Team Liquid","Team Vitality"
"186.7, 251.5, 223, 220.5, 125","212.6, 259.6, 206.8, 200.6, 162.4","0","Team Heretics","FUT Esports"
"225, 256.6, 202.7, 201.1, 188.3","233.4, 194.8, 203.4, 189, 163","1","FNATIC","Giants Gaming"
"275, 158, 123, 186.5, 110","202.6, 201.2, 239.4, 198.2, 204.4","1","KOI","Natus Vincere"
