player;acs;team
k1Ng;267.5;Gen.G
Shao;202.6;Natus Vincere
Leo;225;FNATIC
mwzera;255.3;FURIA
Cloud;233.4;Giants Gaming
trexx;275;KOI
MaKo;240.8;DRX
sh1n;276.4;Karmine Corp
Shyy;237.3;Leviatán
Ethan;237.5;Evil Geniuses
Nivera;262.8;Karmine Corp
Zyppan;201.2;Natus Vincere
CHICHOO;253;EDward Gaming
crashies;222.8;NRG Esports
leaf;233.8;Cloud9
Twisten;263.8;Team Vitality
Less;227.4;LOUD
Derke;256.6;FNATIC
nukkye;194.8;Giants Gaming
Xeppaa;229.6;Cloud9
foxz;217.1;Talon Esports
cNed;239.4;Natus Vincere
ardiis;228.5;NRG Esports
s0m;212;NRG Esports
nAts;258;Team Liquid
aspas;224.3;LOUD
yay;201.6;Andbox
Chronicle;202.7;FNATIC
qRaxs;212.6;FUT Esports
qw1;259.6;FUT Esports
frz;223;MIBR
MOLSI;234.4;Team Vitality
kiNgg;211.3;Leviatán
Alfajer;201.1;FNATIC
Emman;233;Rex Regum Qeon
keloqz;251.5;Team Heretics
murizzz;199.5;MIBR
Mixwell;223;Team Heretics
TS;193;Gen.G
dgzin;233.3;FURIA
Tacolilla;222.8;Leviatán
ceNder;233.8;Team Vitality
BcJ;192.3;Evil Geniuses
JessieVash;258;Team Secret
invy;200.5;Team Secret
Boaster;188.3;FNATIC
garnetS;230;Talon Esports
MOJJ;206.8;FUT Esports
cauanzin;207.1;LOUD
YuChEn;189.3;FunPlus Phoenix
BuZz;238.1;DRX
jawgemo;220.5;Evil Geniuses
SUYGETSU;198.2;Natus Vincere
ZmjjKK;238.7;EDward Gaming
Zellsis;198;Cloud9
Rb;191.6;DRX
zeek;220.5;Team Heretics
tuyz;171.2;LOUD
heat;250;MIBR
ANGE1;204.4;Natus Vincere
Sushiboys;187.1;Talon Esports
Monyet;213.7;Global Esports
vanity;167.8;Version1
takej;197;DetonatioN FocusMe
Cryocells;219.3;100 Thieves
Asuna;200.4;100 Thieves
bang;200.1;100 Thieves
stax;194.8;DRX
TenZ;183.5;Sentinels
Destrian;158.8;Team Vitality
Boostio;205.3;Evil Geniuses
Fit1nho;203.4;Giants Gaming
stellar;190.5;100 Thieves
Mazino;185.7;Leviatán
C0M;182.5;Evil Geniuses
Yuicaw;189.7;FunPlus Phoenix
Jinggg;204;Paper Rex
hoody;189;Giants Gaming
QutionerX;241.3;BBL Esports
MrFaliN;200.6;FUT Esports
AtaKaptan;162.4;FUT Esports
sheydos;158;KOI
Victor;182.8;NRG Esports
Crws;188;Talon Esports
Zest;170.8;DRX
ScreaM;190;Karmine Corp
Mazin;168;FURIA
Meteor;239;Gen.G
rhyme;163;Giants Gaming
Derrek;185.8;100 Thieves
jzz;194;MIBR
FNS;182.9;NRG Esports
nobody;197;EDward Gaming
nzr;144.5;Leviatán
JitBoyS;186.7;Talon Esports
Newzera;139.2;Karmine Corp
Jamppi;245.5;Team Liquid
saadhak;192.2;LOUD
BORKUM;175.5;Team Secret
fl1pzjder;178;Rex Regum Qeon
t3xture;206.7;Global Esports
xand;179;KRÜ Esports
xms;157.8;Karmine Corp
Khalil;147.7;FURIA
SugarZ3ro;178;ZETA DIVISION
Quick;190.7;FURIA
Laz;171.5;ZETA DIVISION
xffero;182.5;Rex Regum Qeon
AAAAY;202;FunPlus Phoenix
Redgar;205.5;Team Liquid
Haodong;163;EDward Gaming
Lmemore;203;Rex Regum Qeon
Brave;206.3;BBL Esports
pANcada;198.5;Sentinels
Jremy;163;Team Secret
RgLMeister;174.5;MIBR
SouhcNi;154.3;BBL Esports
Smoggy;173.3;EDward Gaming
eKo;158;Gen.G
DaveeyS;183.5;KRÜ Esports
nizhaoTZH;162.3;FunPlus Phoenix
Sayaplayer;196;T1
Dep;178.5;ZETA DIVISION
Turko;128.7;BBL Esports
AYRIN;184;Global Esports
BONECOLD;151.2;Team Vitality
Secret;146;Maru Gaming
Sayf;172.5;Team Liquid
EJAY;189;Rex Regum Qeon
Reita;207.5;DetonatioN FocusMe
Bazzi;168.7;Global Esports
Munchkin;157;T1
berLIN;182;FunPlus Phoenix
Boo;125;Team Heretics
AsLanM4shadoW;149;BBL Esports
axeddy;164;KRÜ Esports
Carpe;172;T1
starxo;123;KOI
Melser;135;KRÜ Esports
DubsteP;139;Team Secret
Wolfen;186.5;KOI
f0rsakeN;210;Paper Rex
Sacy;171.5;Sentinels
ban;194;T1
Suggest;154.5;DetonatioN FocusMe
mindfreak;163;Paper Rex
koldamenta;110;KOI
Benkai;165.5;Paper Rex
xeta;172;T1
Anthem;159;DetonatioN FocusMe
SkRossi;130.7;Global Esports
crow;135.5;ZETA DIVISION
AvovA;147.5;Team Heretics
xnfri;151;DetonatioN FocusMe
dephh;130.5;Sentinels
d4v41;138.5;Paper Rex
zekken;119.5;Sentinels
soulcas;112.5;Team Liquid
NagZ;106.5;KRÜ Esports
TENNN;132.5;ZETA DIVISION
2ge;111;Rex Regum Qeon
Seoldam;129;DetonatioN FocusMe
